'sdfcc','ccqa','cc','@123','xdf','01944620161'
"weresd","xzx1122","xsc","@13","dsbdhb","01944620161"
"TANHA TASFIA","014","cse","tasfia@mail.com","sdwads12","01944620161"
"mahapara naim","057","cse","naim@gmail.com","aqewed76","01944620161"
"justin bieber","119","cse","gahw@gmail.com","aloo-potol","01944620134"
"selena selena","120","eece","gsdwaahw@gmail.com","aloo-potol-mach","11944620134"
"LADY GAGA","201914111","architecture","qwrt@hotmail.com","jalaljhu2","01944670165"
"AMAIRA SAIRA","2019140115","ME","sder@hotmail.com","uytvbh90","01944620151"
"uyshdbxs","166","civil","@1dsfff","aqx2334","01944620161"
"Afsara","201914017","AE","swet@gmail.com","walterwhite","01944620166"
"jalal","201914013","civil","yatysjh@gmail.com","white","01944620171"
"name","roll","dept","email@","set-password","phone-numbe"
"fafafa","201914020","cse","wert@gmail.com","dala-dala-kala","01944620181"
"sasha","201914026","cse","we@gmail.com","aloo-bhaji","01944620181"
"Gerin Khan","201914004","CSE","falai@gmial.com","military","01944620162"
"camila shand","201914060","cse","dska@gmial.com","military","01944620170"
"procheta","201914061","cse","hala@gmail.com","military","01944620161"
"maisha khan","201914062","cse","jir@gmail.com","military","01944620171"
"karla","201914070","cse","gert@gmail.com","jalaka","01944620161"
"karenhall","201914074","cse","gdhe@gmail.com","hert","01944620161"
"karly ","201914080","cse","bvf@gmail.com","tanha","01944620161"
"hujur huhur","201914094","cse","hery@gmail.com","sds","01944620161"
"polly","201914095","cse","der@gmai","tanha","01944620161"
"kala kala","201914096","cse","sad@gmail.com","tanha","01944620161"
"labamba","201914097","cse","gert@gmail.com","tanha","01944620161"
"lousy","201914098","eece","fgrh@gmail.com","tanha","01944620161"
